Cycles Burned
15,303,315,386,207
16,917,932,902,853
18,234,805,055,354
24,533,346,433,522
25,922,641,619,679
24,638,207,186,087
21,609,242,154,343
47,714,264,598,914
113,805,451,067,944
905,254,147,834,250
77,093,364,419,545
64,246,020,647,888
54,823,132,962,826
45,611,314,832,577
56,330,343,569,236
40,185,863,500,569
30,305,464,412,205
27,479,801,756,765
40,699,271,424,472
37,847,712,069,833
46,516,801,627,498
28,957,798,640,844
39,999,304,626,313
33,214,876,146,392
26,518,226,473,722
24,855,488,753,339
26,765,939,965,797
62,203,630,212,964
86,730,336,211,054
193,512,548,017,325
128,362,316,215,033
67,338,563,844,576
84,400,903,549,380
82,203,611,667,195
106,974,643,022,598
132,237,620,521,911
111,256,239,588,459
82,453,500,407,763
123,405,527,328,451
130,063,833,181,733
203,973,201,111,011
205,473,312,606,702
140,235,120,561,699
99,595,699,740,586
141,280,394,972,794
131,819,860,119,521
129,101,804,400,661
123,718,317,290,840
126,787,851,577,296
100,102,819,638,986
95,669,655,032,671
93,640,075,270,254
107,009,524,043,805
184,853,374,199,835
222,623,570,472,221
102,655,752,304,034
114,583,771,952,257
105,220,774,561,715
128,902,867,055,444
96,682,363,219,335
105,685,101,991,936
125,810,846,027,288
127,464,884,326,805
98,193,252,201,439
123,650,697,841,767
98,556,110,170,823
188,128,173,512,806
235,027,652,290,682
240,904,625,472,721
271,672,501,549,673
133,589,619,129,139
225,992,746,456,882
131,444,480,105,902
167,865,318,314,850
185,706,763,749,901
207,390,104,345,203
208,160,064,255,288
267,377,636,421,104
232,199,775,954,864
219,535,754,921,586
208,546,288,336,539
197,697,510,188,163
186,404,756,407,952
190,199,898,963,012
195,650,186,628,839
186,566,397,074,094
184,582,751,366,594
169,549,163,602,539
213,508,720,657,469
210,196,047,186,086
237,397,114,136,507
284,362,488,895,669
275,137,291,486,536
271,680,901,584,628
228,444,662,925,528
235,143,650,345,157
229,253,714,058,034
300,161,515,811,597
229,971,473,469,458
271,969,290,020,274
393,072,912,710,077
356,775,169,291,900
283,100,518,476,443
231,502,626,706,834
174,680,757,110,503
238,530,567,511,653
206,236,367,727,413
174,085,237,412,292
163,361,433,563,444
165,787,744,067,990
193,707,416,232,942
189,260,444,388,438
242,314,857,286,550
185,335,851,892,800
172,548,559,320,461
165,270,133,618,523
182,659,472,183,207
203,922,000,722,548
147,754,059,191,744
286,042,227,119,554
220,138,239,897,719
141,894,936,935,377
161,840,303,383,904
185,507,521,956,469
222,033,437,345,150
230,942,717,033,296
195,292,077,640,995
135,712,757,964,726
151,542,433,055,252
174,318,376,828,484
171,710,742,133,710
200,840,608,449,530
165,626,674,410,993
154,890,146,479,340
163,676,384,557,276
244,994,437,780,418
326,378,055,838,578
208,947,899,544,655
208,947,899,544,655
169,903,671,615,780
150,032,242,356,785
254,479,874,251,672
151,834,610,610,687
183,656,118,400,182
131,528,467,795,006
131,528,467,795,006
194,320,529,189,671
166,372,671,414,707
175,985,849,119,449
180,151,513,676,932
150,734,767,489,375
223,220,056,635,174
173,373,132,695,896
215,696,297,756,777
324,724,677,891,453
315,720,265,490,317
371,786,265,066,481
394,287,137,780,726
307,167,414,312,612
212,130,267,091,547
326,472,641,322,187
331,946,497,967,175
357,947,408,861,561
298,574,535,150,843
318,048,775,351,405
426,840,961,509,284
306,158,549,251,881
284,541,224,720,732
258,251,736,220,865
229,883,334,389,861
210,834,789,992,502
202,120,172,304,863
200,497,984,416,244
238,207,749,302,562
272,088,930,225,394
214,522,927,786,778
182,255,365,450,051
168,294,006,189,919
170,587,990,877,579
207,074,077,786,616
247,705,243,466,746
260,765,172,917,066
303,039,407,015,570
303,687,639,886,448
287,129,555,276,460
259,529,180,303,498
274,711,130,213,929
272,183,140,269,823
273,426,337,610,235
270,509,679,517,460
287,304,970,449,239
271,188,327,908,331
273,796,126,085,488
226,789,113,386,315
209,781,534,139,130
230,540,227,666,110
246,234,244,441,302
323,879,614,575,053
292,269,486,190,211
249,097,167,064,700
244,550,960,076,903
242,855,582,904,408
273,564,873,988,783
288,751,853,200,544
230,569,057,137,331
270,357,823,779,898
311,214,877,864,475
294,007,446,378,418
305,187,037,279,713
330,507,418,763,841
496,814,286,324,046
472,330,541,750,395
328,752,730,945,234
292,893,677,792,823
222,756,070,457,588
201,103,531,330,673
233,918,405,532,409
246,173,612,503,380
342,895,935,554,489
214,351,781,108,243
207,235,612,435,026
202,574,339,534,155
230,100,209,471,813
382,886,436,572,383
283,069,564,714,800
318,654,989,223,230
246,180,184,289,778
232,110,629,892,086
257,012,225,343,226
249,182,774,203,489
269,103,773,672,161
260,773,380,716,411
232,268,738,463,583
213,425,416,459,100
210,762,376,279,714
223,272,567,076,040
311,796,417,338,116
268,266,829,950,284
252,046,986,255,518
414,657,411,873,557
